"Girokonto";"DE72 1203 0000 0011 4478 55"
""
"Zeitraum:";"01.07.2025 - 30.06.2026"
"Kontostand vom 30.06.2026:";"3.412,87 €"
""
"Buchungsdatum";"Wertstellung";"Status";"Zahlungspflichtige*r";"Zahlungsempfänger*in";"Verwendungszweck";"Umsatztyp";"IBAN";"Betrag (€)";"Gläubiger-ID";"Mandatsreferenz";"Kundenreferenz";"Kategorie";"Unterkategorie"
"15.06.26";"15.06.26";"Gebucht";"Lukas Mustermann";"1und1 DSL";"Rechnung 06/2026 Kd-Nr. 059784";"Ausgang";"DE28143519419979817630";"-26,39";"DE221D19115431670";"1D-059784";"";"8. fixed costs";"internet"
"13.04.26";"13.04.26";"Gebucht";"Lukas Mustermann";"PayPal Europe S.a.r.l. et Cie S.C.A";"9946418398416 PP.4855.PP . CITY TAXI, Ihr Einkauf bei CITY TAXI";"Ausgang";"DE88500700100175526303";"-27,41";"LU96ZZZ0000000000000000058";"5PYM734785369KV";"";"3. mobility";"taxi"
"06.10.25";"06.10.25";"Gebucht";"Lukas Mustermann";"Deutsche Glasfaser";"Rechnung 10/2025 Kd-Nr. 951522345";"Ausgang";"DE08960713766708060605";"-25,01";"DE22DG06405118328";"DG-951522345";"";"8. fixed costs";"internet"
"16.03.26";"16.03.26";"Gebucht";"Lukas Mustermann";"Spargelhof.Klein.0047/Düsseldorf";"SPARGELHOF SAGT DANKE. 2026-03-16T22:18:34 KFN 0 VJ 2812";"Ausgang";"";"-22,75";"";"";"";"1. groceries";"farmers market"
"05.10.25";"05.10.25";"Gebucht";"Lukas Mustermann";"Rossmann Babywelt";"Lastschrift 10/2025 Ref 170598445";"Ausgang";"DE14367286811230388568";"-207,46";"DE22RB11939781459";"RB-170598445";"";"4. family";"family"
"21.06.26";"21.06.26";"Gebucht";"Lukas Mustermann";"wilhelm.tel";"Rechnung 06/2026 Kd-Nr. 7801104";"Ausgang";"DE70844445325672119511";"-49,16";"DE22W09452658216";"W-7801104";"";"8. fixed costs";"internet"
"26.09.25";"26.09.25";"Gebucht";"Lukas Mustermann";"KVB Köln";"Lastschrift 09/2025 Ref 79736383";"Ausgang";"DE18285605397079866177";"-52,38";"DE22KK06736820506";"KK-79736383";"";"3. mobility";"öpnv"
"17.12.25";"17.12.25";"Gebucht";"Lukas Mustermann";"PayPal Europe S.a.r.l. et Cie S.C.A";"6355373096496 PP.4855.PP . TAXI GENOSSENSCHAFT, Ihr Einkauf bei TAXI GENOSSENSCHAFT";"Ausgang";"DE88500700100175526303";"-8,92";"LU96ZZZ0000000000000000058";"5PYM927711952KV";"";"3. mobility";"taxi"
"19.12.25";"19.12.25";"Gebucht";"Lukas Mustermann";"PayPal Europe S.a.r.l. et Cie S.C.A";"1584668793030 PP.4855.PP . ADLER APOTHEKE, Ihr Einkauf bei ADLER APOTHEKE";"Ausgang";"DE88500700100175526303";"-52,56";"LU96ZZZ0000000000000000058";"5PYM285327276KV";"";"6. healthcare";"pharmacy"
"14.08.25";"14.08.25";"Gebucht";"Lukas Mustermann";"Hotel.Astoria.124/Köln";"HOTEL 2025-08-14T16:29:42 KFN 0 VJ 2812";"Ausgang";"";"-734,43";"";"";"";"2. lifestyle&fun";"vacation"
"31.01.26";"31.01.26";"Gebucht";"Lukas Mustermann";"PayPal Europe S.a.r.l. et Cie S.C.A";"4510173973964 PP.4855.PP . HORNBACH, Ihr Einkauf bei HORNBACH";"Ausgang";"DE88500700100175526303";"-121,72";"LU96ZZZ0000000000000000058";"5PYM178996986KV";"";"2. lifestyle&fun";"shopping (rest)"
"27.02.26";"27.02.26";"Gebucht";"Lukas Mustermann";"PayPal Europe S.a.r.l. et Cie S.C.A";"6198273481310 PP.4855.PP . BIKE COMPONENTS, Ihr Einkauf bei BIKE COMPONENTS";"Ausgang";"DE88500700100175526303";"-1.075,20";"LU96ZZZ0000000000000000058";"5PYM450258963KV";"";"3. mobility";"bicycle"
"08.02.26";"08.02.26";"Gebucht";"Lukas Mustermann";"Book.Depository.8116/Stuttgart";"Kartenzahlung 2026-02-08T07:18:37 KFN 0 VJ 2812";"Ausgang";"";"-38,10";"";"";"";"5. education";"books"
"21.09.25";"21.09.25";"Gebucht";"Lukas Mustermann";"FREENOW/Stuttgart";"FREENOW SAGT DANKE. 2025-09-21T13:55:06 KFN 0 VJ 2812";"Ausgang";"";"-38,28";"";"";"";"3. mobility";"taxi"
"06.02.26";"06.02.26";"Gebucht";"Lukas Mustermann";"TEDi/Frankfurt";"TEDI 66526834//Frankfurt/DE 2026-02-06T11:32:55 KFN 0 VJ 2812";"Ausgang";"";"-13,59";"";"";"";"2. lifestyle&fun";"presents"
"15.12.25";"15.12.25";"Gebucht";"Lukas Mustermann";"Uber.805/Leipzig";"UBER 2025-12-15T12:59:26 KFN 0 VJ 2812";"Ausgang";"";"-53,96";"";"";"";"3. mobility";"taxi"
"28.09.25";"28.09.25";"Gebucht";"Lukas Mustermann";"Praxis Dr. Berger";"Lastschrift 09/2025 Ref 31936252";"Ausgang";"DE60221690887548029335";"-38,29";"DE22PDB83843910657";"PDB-31936252";"";"6. healthcare";"doctor"
"02.02.26";"02.02.26";"Gebucht";"Lukas Mustermann";"Urban Sports Club";"URBAN Abo Kd-Nr. 254780095 02/2026";"Ausgang";"DE80401461597000190073";"-73,74";"DE22USC88546734743";"USC-254780095";"";"7. abos";"gym"
"13.08.25";"13.08.25";"Gebucht";"Lukas Mustermann";"PayPal Europe S.a.r.l. et Cie S.C.A";"6008228377427 PP.4855.PP . NETFLIX, Ihr Einkauf bei NETFLIX";"Ausgang";"DE88500700100175526303";"-7,71";"LU96ZZZ0000000000000000058";"5PYM054985788KV";"";"7. abos";"streaming"
"20.11.25";"20.11.25";"Gebucht";"Lukas Mustermann";"denns.Biomarkt/Düsseldorf";"DENNS 52735454//Düsseldorf/DE 2025-11-20T19:21:01 KFN 0 VJ 2812";"Ausgang";"";"-84,47";"";"";"";"1. groceries";"supermarket"
"09.01.26";"09.01.26";"Gebucht";"Lukas Mustermann";"PayPal Europe S.a.r.l. et Cie S.C.A";"1729476380839 PP.4855.PP . FAMILIENKASSE, Ihr Einkauf bei FAMILIENKASSE";"Ausgang";"DE88500700100175526303";"-188,20";"LU96ZZZ0000000000000000058";"5PYM065402599KV";"";"4. family";"family"
"28.02.26";"28.02.26";"Gebucht";"Lukas Mustermann";"Cloudflare";"CLOUDFLARE Abo Kd-Nr. 9969915 02/2026";"Ausgang";"DE48270029331326893746";"-8,99";"DE22C02136884157";"C-9969915";"";"7. abos";"self-hosting"
"23.02.26";"23.02.26";"Gebucht";"Lukas Mustermann";"PayPal Europe S.a.r.l. et Cie S.C.A";"9207115238023 PP.4855.PP . CANYON, Ihr Einkauf bei CANYON";"Ausgang";"DE88500700100175526303";"-1.247,22";"LU96ZZZ0000000000000000058";"5PYM621921581KV";"";"3. mobility";"bicycle"
"07.08.25";"07.08.25";"Gebucht";"Lukas Mustermann";"Geschenke24.1050/Bremen";"GESCHENKE24 53816493//Bremen/DE 2025-08-07T17:13:29 KFN 0 VJ 2812";"Ausgang";"";"-42,28";"";"";"";"2. lifestyle&fun";"presents"
"16.01.26";"16.01.26";"Gebucht";"Lukas Mustermann";"EDEKA/Heidelberg";"Kartenzahlung 2026-01-16T07:54:56 KFN 0 VJ 2812";"Ausgang";"";"-86,53";"";"";"";"1. groceries";"supermarket"
"22.12.25";"22.12.25";"Gebucht";"Lukas Mustermann";"Codecademy";"CODECADEMY Abo Kd-Nr. 989062327 12/2025";"Ausgang";"DE23717989022379006548";"-127,82";"DE22C70847795417";"C-989062327";"";"5. education";"online courses"
